kom,navn
101,København
147,Frederiksberg
151,Ballerup
153,Brøndby
155,Dragør
157,Gentofte
159,Gladsaxe
161,Glostrup
163,Herlev
165,Herstederne
167,Hvidovre
169,Høje Tåstrup
171,Ledøje-Smørum
173,Lyngby-Tårbæk
175,Rødovre
181,Søllerød
183,Ishøj
185,Tårnby
187,Vallensbæk
189,Værløse
201,Allerød
205,Birkerød
207,Farum
208,Fredensborg-Humlebæk
209,Frederikssund
211,Frederiksværk
213,Græsted-Gilleleje
215,Helsinge
217,Helsingør
219,Hillerød
221,Hundested
223,Hørsholm
225,Jægerspris
227,Karlebo
229,Skibby
231,Skævinge
233,Slangerup
235,Stenløse
237,Ølstykke
251,Bramsnæs
253,Greve
255,Gundsø
257,Hvalsø
259,Køge
261,Lejre
263,Ramsø
265,Roskilde
267,Skovbo
269,Solrød
271,Vallø
301,Bjergsted
303,Dianalund
305,Dragsholm
307,Fuglebjerg
309,Gørlev
311,Hashøj
313,Haslev
315,Holbæk
317,Hvidebæk
319,Høng
321,Jernløse
323,Kalundborg
325,Korsør
327,Nykøbing-Rørvig
329,Ringsted
331,Skælskør
333,Slagelse
335,Sorø
337,Stenlille
339,Svinninge
341,Tornved
343,Trundholm
345,Tølløse
351,Faxe
353,Fladså
355,Holeby
357,Holmegård
359,Højreby
361,Langebæk
363,Maribo
365,Møn
367,Nakskov
369,Nykøbing F.
371,Nysted
373,Næstved
375,Nørre Alslev
377,Præstø
379,Ravnsborg
381,Rudbjerg
383,Rødby
385,Rønnede
387,Sakskøbing
389,Stevns
391,Stubbekøbing
393,Suså
395,Sydfalster
397,Vordingborg
400,Bornholms regionskommune
401,Allinge-Gudhjem
403,Hasle
405,Neksø
407,Rønne
409,Aakirkeby
411,Christiansø
421,Assens
423,Bogense
425,Broby
427,Egebjerg
429,Ejby
431,Fåborg
433,Glamsbjerg
435,Gudme
437,Hårby
439,Kerteminde
441,Langeskov
443,Marstal
445,Middelfart
447,Munkebo
449,Nyborg
451,Nørre Åby
461,Odense
471,Otterup
473,Ringe
475,Rudkøbing
477,Ryslinge
479,Svendborg
481,Sydlangeland
483,Søndersø
485,Tommerup
487,Tranekær
489,Ullerslev
491,Vissenbjerg
492,Ærø
493,Ærøskøbing
495,Ørbæk
497,Årslev
499,Årup
501,Augustenborg
503,Bov
505,Bredebro
507,Broager
509,Christiansfeld
511,Gram
513,Gråsten
515,Haderslev
517,Højer
519,Lundtoft
521,Løgumkloster
523,Nordborg
525,Nørre Rangstrup
527,Rødding
529,Rødekro
531,Skærbæk
533,Sundeved
535,Sydals
537,Sønderborg
539,Tinglev
541,Tønder
543,Vojens
545,Åbenrå
551,Billund
553,Blåbjerg
555,Blåvandshuk
557,Bramming
559,Brørup
561,Esbjerg
563,Fanø
565,Grindsted
567,Helle
569,Holsted
571,Ribe
573,Varde
575,Vejen
577,Ølgod
601,Brædstrup
603,Børkop
605,Egtved
607,Fredericia
609,Gedved
611,Give
613,Hedensted
615,Horsens
617,Jelling
619,Juelsminde
621,Kolding
623,Lunderskov
625,Nørre Snede
627,Tørring-Uldum
629,Vamdrup
631,Vejle
651,Aulum-Haderup
653,Brande
655,Egvad
657,Herning
659,Holmsland
661,Holstebro
663,Ikast
665,Lemvig
667,Ringkøbing
669,Skjern
671,Struer
673,Thyborøn-Harboør
675,Thyholm
677,Trehøje
679,Ulfborg-Vemb
681,Videbæk
683,Vinderup
685,Åskov
701,Ebeltoft
703,Galten
705,Gjern
707,Grenå
709,Hadsten
711,Hammel
713,Hinnerup
715,Hørning
717,Langå
719,Mariager
721,Midtdjurs
723,Nørhald
725,Nørre Djurs
727,Odder
729,Purhus
731,Randers
733,Rosenholm
735,Rougsø
737,Ry
739,Rønde
741,Samsø
743,Silkeborg
745,Skanderborg
747,Sønderhald
749,Them
751,Århus
761,Bjerringbro
763,Fjends
765,Hanstholm
767,Hvorslev
769,Karup
771,Kjellerup
773,Morsø
775,Møldrup
777,Sallingsund
779,Skive
781,Spøttrup
783,Sundsøre
785,Sydthy
787,Thisted
789,Tjele
791,Viborg
793,Aalestrup
801,Arden
803,Brovst
805,Brønderslev
807,Dronninglund
809,Farsø
811,Fjerritslev
813,Frederikshavn
815,Hadsund
817,Hals
819,Hirtshals
821,Hjørring
823,Hobro
825,Læsø
827,Løgstør
829,Løkken-Vrå
831,Nibe
833,Nørager
835,Pandrup
837,Sejlflod
839,Sindal
841,Skagen
843,Skørping
845,Støvring
847,Sæby
849,Åbybro
851,Ålborg
861,Års
